datetime,temp
2022-09-16,28.1
2022-09-17,28
2022-09-18,28.2
2022-09-19,26.1
2022-09-20,26
2022-09-21,27.9
2022-09-22,27.1
2022-09-23,27.4
2022-09-24,28
2022-09-25,27.4
2022-09-26,27.2
2022-09-27,28.4
2022-09-28,27.9
2022-09-29,27.8
2022-09-30,28.2
2022-10-01,29.6
2022-10-02,28.7
2022-10-03,27.6
2022-10-04,29
2022-10-05,29.1
2022-10-06,29.8
2022-10-07,29.3
2022-10-08,29.2
2022-10-09,29.3
2022-10-10,29.8
2022-10-11,29.4
2022-10-12,29.4
2022-10-13,29
2022-10-14,29.4
2022-10-15,29.9
2022-10-16,29.5
2022-10-17,28.2
2022-10-18,28.9
2022-10-19,27.9
2022-10-20,27.6
2022-10-21,28.5
2022-10-22,29.4
2022-10-23,28.7
2022-10-24,29.4
2022-10-25,26.5
2022-10-26,27.8
2022-10-27,28.9
2022-10-28,27.4
2022-10-29,25
2022-10-30,27.1
2022-10-31,27.1
2022-11-01,27.3
2022-11-02,27.7
2022-11-03,28.2
2022-11-04,27.5
2022-11-05,27.5
2022-11-06,27.9
2022-11-07,28.4
2022-11-08,28.2
2022-11-09,28.3
2022-11-10,28.9
2022-11-11,28.6
2022-11-12,28.1
2022-11-13,28.6
2022-11-14,29.3
2022-11-15,28.6
2022-11-16,28.6
2022-11-17,28
2022-11-18,27.2
2022-11-19,26.2
2022-11-20,27.4
2022-11-21,27.4
2022-11-22,28.4
2022-11-23,28.9
2022-11-24,29.7
2022-11-25,29
2022-11-26,28.8
2022-11-27,28.4
2022-11-28,28.5
2022-11-29,29.3
2022-11-30,28.8
2022-12-01,28.2
2022-12-02,28.7
2022-12-03,29.4
2022-12-04,28.6
2022-12-05,28
2022-12-06,28.2
2022-12-07,28.6
2022-12-08,28.5
2022-12-09,27
2022-12-10,26.9
2022-12-11,27.2
2022-12-12,27.8
2022-12-13,28.1
2022-12-14,27.8
2022-12-15,28.2
2022-12-16,28.6
2022-12-17,26.9
2022-12-18,27.1
2022-12-19,27.2
2022-12-20,26.1
2022-12-21,26.9
2022-12-22,26.5
2022-12-23,27.1
2022-12-24,26.1
2022-12-25,25.3
2022-12-26,25.2
2022-12-27,25.3
2022-12-28,26.2
2022-12-29,26.2
2022-12-30,27.3
2022-12-31,26.7
